question,type,lemma,basiswoord1,basiswoord2,voorbeeld1,voorbeeld2,voorbeeld3,voorbeeld4,voorbeeld5,voorbeeld6,voorbeeld7,voorbeeld8
,userdetails,,,,,,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,twittie,Twitter,"fittie 'ruzie'","De manier waarop Farrah haar moeder toen behandelde, staat Minaj totaal niet aan. En wat doe je dan? Dan begin je een fittie op Twitter. Een Twittie. De Amerikaanse zangeres nam het voortouw en plaatste een tweet over het gedrag van Farrah, wat wellicht niet heel eerlijk is aangezien Farrah in 2009 nog niet volwassen was.",,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,vrachtpatser,vracht,krachtpatser,"De vrachtpatser is het beste ontwerp van de HEMA-ontwerpwedstrijd 2010 geworden. De vrachtpatser is speciaal ontworpen om zware of grote spullen op de fiets te kunnen vervoeren. Het idee is van René Bijsterveld, student aan de Hogeschool voor de Kunsten in Utrecht. Omdat René voor zijn studie veel boeken nodig heeft, moet hij vaak zware en grote tassen sjouwen [...]. De vrachtpatser kan ook goed gebruikt worden door studenten die twee kratten bier tegelijkertijd mee willen nemen.","De HEMA-wedstrijd zoekt elk jaar naar innovatieve ontwerpen die het dagelijkse leven aangenamer moeten maken. De laatste wedstrijd (2010) stond in het teken van een uitstapje, een dagje uit, of aangenaam winkelen met vrienden. De winnaar is uiteindelijk Rene Bijsterveld geworden met zijn vrachtpatser. Het speciale rek monteer je op een fiets, en hierdoor kan je veel meer bagage op de fiets meenemen, een aangename en vooral ecologische manier van werken.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,vagetariër,vaag,vegetariër,"Ooit was een vegetariër iemand die een principiële keus had gemaakt om geen vlees te eten. De nieuwe vegetariër is vaak deeltijdvegetariër, of 'vagetariër': iemand die stilstaat bij de herkomst van zijn vlees en besluit om er minder van te eten.","Ik ben een vagetariër. Iemand die hoogst zelden vlees of vis eet. Maar ook iemand die zelfs het vegetarisme niet helemaal nauw neemt. Als mijn vagetarisme niet voortkomt uit een diepgaande overtuiging, dringt de vraag zich op waarom ik er dan een ben geworden. Het eerlijke antwoord is dat ik er ben ingerommeld. Mijn kinderen zijn overtuigde vegetariërs. Zij gruwen zo van dierenleed, dat ze geen dieren willen eten.","Drie dagen geleden had ik het besloten. Ik stop met vlees eten. Voorlopig. Ik wordt vagetariër. Het was een bewuste keuze. Niet omdat ik dieren eten zielig vind voor de natuur, want mensen hebben hoektanden en die zijn gewoon om vlees mee te scheuren.","Hier spreekt een mislukte vagetariër die wel vegetariër wilde worden, maar er niet van afblijven kon.",,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,podcast,iPod,broadcast,"Volgens Breedveld is het echter onzin om podcasten nu al dood te verklaren. In Nederland wordt goed gebruikgemaakt van het medium, vooral door publieke en commerciële omroepen, die op internet een enorme hoeveelheid podcasts aanbieden. ""Naar mijn mening is er ook nog steeds veel vraag naar 'media on demand', wat podcasten ook is. Het blijft gewoon leuk om je favoriete podcasts op je mediaspeler af te kunnen spelen, waar en wanneer je maar wilt. Tegelijkertijd zullen veel mensen beslist nog moeite hebben om te snappen hoe het werkt"", aldus Breedveld. Dat laatste lijkt niet aan het internet of de beschikbare techniek te liggen. Grote podcastsites helpen internetgebruikers vaak goed op weg bij het ophalen en beluisteren van podcasts. De bekendste manier om een podcast te downloaden, is nog steeds het Appleprogramma iTunes.","Podcasts kunnen ook automatisch gedownload worden op Mac of pc door middel van een toepassing, zoals Juice (voordien iPodder), Sopcast en iTunes. Sinds versie 4.9 ondersteunt iTunes podcasting. In de music store van iTunes is een Podcastdirectory (lijst) geïntegreerd, waarin men podcasts kan zoeken en voorbeluisteren.","Alle actuele ontwikkelingen in Nederland en Vlaanderen zijn te volgen via diverse websites, waar alle Nederlandstalige podcasts te vinden en direct te beluisteren zijn. In het algemeen gaat het hier om sites die podcastverzamelingen weergeven, zoals een algemene lijst van Nederlandstalige podcasts of de verzamelde podcasts van de Nederlandse Omroepen.","Deze podcast is ongeveer 30 MB groot en duurt 33 minuten. U kan de podcast downloaden of onmiddellijk beluisteren via onze geluidsspeler [...].",,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,potel,Pool/Polen,hotel,"Potel' Toor in Alphen gaat voorlopig niet tegen de vlakte. De arbeidersmigranten blijven voorlopig nog wel even in het voormalige hotel Toor. Het Polenhotel had na de zomer van 2013 leeg moeten zijn, zo meldde de gemeente in maart vorig jaar. De sloop is nu uitgesteld, het is niet bekend voor hoe lang.","""Wij gaan hier voorlopig niet weg"", zegt Wim Smits van Job Housing. Zijn bedrijf huurt het voormalige hotel, dat door de komst van 160 tot tweehonderd Oost-Europese arbeidsmigranten is veranderd in een 'potel'. ""We hebben nog helemaal niets gehoord over een sloopdatum of een moment waarop we eruit moeten.""",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,voluntoerisme,voluntair,toerisme,"Voluntoerisme, een concept waar ik eerder kritisch tegenover sta. Het idee is als volgt: je bent op reis door een prachtig arm land en tussen het reizen door besluit je een week te gaan helpen in het lokale weeshuis. Vorige week leerde ik een project kennen dat me positief verraste! Er valt veel te zeggen over deze voluntoerisme-projecten. Weeshuizen blijken soms dagopvangcentra voor kinderen van hard werkende ouders. In 2011 luidde Unicef nog de alarmbel over weeshuizen in Cambodja. Daar bleken bijna 75% van de weeskinderen nog minstens één levende ouder te hebben. Ook de financiële situatie van deze organisaties is niet altijd even duidelijk. Als vrijwilliger is het soms moeilijk te weten hoeveel van je geld er effectief naar de lokale gemeenschap gaat.",,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,himbo,him,bimbo,"Wij lijken een onbedwinbare behoefte te hebben mannen in hokjes te plaatsen. Zo heet het nieuwste soort man: de himbo. Deze mannelijke 'babe' is alleen maar bezig met zijn uiterlijk en aantrekkelijkheid. Hij volgt ondermeer de metro- en de gastroseksueel op. Het lijken me allemaal bijzonder vermoeiende types.","De naam 'himbo' werd in Amerika uitgevonden waar ze worden vergeleken met vrouwelijke 'bimbo's' en babes als Pamela Anderson, Paris Hilton en Kate Perry. Net als deze dames, wandelen himbo's nooit de deur uit zonder aan hun looks te werken. De mannelijke 'babe' spiegelt zich aan rolmodellen als David Beckham, Brad Pitt en Matthew McConaughey.","Zijn uiterlijk is enorm belangrijk. Hij zal liever twee uur in de fitness doorbrengen als jou te helpen bij het verhuizen. Probeer een himbo dus niet om te toveren tot een huiselijk type, want dat mislukt gegarandeerd schromelijk.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,prosument,producent,consument,"We stellen vast dat onder invloed van diverse maatschappelijke, economische en technologische processen, de positie van de consument in ieder geval aan verandering onderhevig is. Niet alleen lijkt de consument zijn positie te kunnen verstevigen ten opzichte van wederpartijen zoals producenten en leveranciers. Ook lijken de handelingen van produceren en consumeren in toenemende mate te interfereren. Is daarmee de prosument geboren?","Technisch en economisch is het nu mogelijk om energie schoon op te wekken op lokale schaal. Dat betekent niets minder dan een aardverschuiving binnen de energiewereld. Een transitie van centraal naar decentraal, van fossiel naar schoon, van product naar dienst, van consument naar prosument en van individu naar gemeenschap. De gebundelde consumentenkracht als verandermacht maakt de grote energiebedrijven behoorlijk nerveus.","Zoals vaker is onderzocht en beschreven willen consumenten meer betrokken worden bij het ontwikkelingsproces van producten en diensten. Deze prosumenten willen actief deel uitmaken van de ontwikkeling en genereren van ideeën en hopen op een moment van ""fame"". Daar zijn al diverse voorbeelden van waarneembaar of het nu het product zelf betreft, de verpakking of meedenken ten aanzien van de campagne er omheen.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,apparterra,appartement,terra,"ApparterrA is een innovatief en onderscheidend woonconcept. Deze patiowoningen brengen het beste van twee werelden samen: de prijs en het comfort van een appartement, maar de leefbaarheid en vitaliteit van een woning direct op de grond.",,,,,,,
