question,type,lemma,basiswoord1,basiswoord2,voorbeeld1,voorbeeld2,voorbeeld3,voorbeeld4,voorbeeld5,voorbeeld6,voorbeeld7,voorbeeld8
,userdetails,,,,,,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,aanmodderfakker,aanmodderen,motherfucker,"Welke films moet je zeker nog eens kijken? Welke scène of gedachte mag je dan niet ontgaan? Iedere maand geeft een redacteur of bestuurslid van Het Filmgesprek drie filmtips. Films die na het kijken nog lang bleven hangen. Deze maand de keuze van redacteur Matthijs van Staalduine.  Drie films over aanmodderfakkers – mannen die weigeren volwassen te worden.","Iemand zonder ambities die niet verder komt in het leven: een Aanmodderfakker.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,adware,advertising,software,"Men onderscheidt momenteel drie soorten spionagesoftware. Een eerste soort lanceert voortdurend reclameboodschappen op je scherm (Adware), de tweede categorie verzamelt en verstuurt allerlei persoonsgebonden informatie (Trojaanse paarden) en een derde soort spionnen neemt ongemerkt de controle over van je computer (Systeemkapers).","De vakbondsbrowser werd mogelijk nadat het Noorse Opera Software in december had besloten zijn bladerprogramma gratis weg te geven. Tot die tijd vroeg de onderneming er negentig gulden voor, maar vrijwel niemand blijkt bereid dat neer te tellen, zolang Netscape en Explorer gratis zijn. Het besluit Opera weg te geven eist zijn tol: de arbeidende klasse moet dulden dat het bedrijfsleven zich via kleine advertenties op het startscherm opdringt. Hiermee valt het programma in de categorie adware, software die advertentie-inkomsten oplevert.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,agflatie,agricultuur,inflatie,"Na de prijzen van frituurvet en van melk gaan nu ook die van brood omhoog. Allemaal door krapte op de wereldmarkt voor landbouwproducten. Jose Rasco, een analist van de Amerikaanse zakenbank Merrill Lynch heeft er alvast een nieuw woord voor uitgevonden: agflatie. Die term moet uitdrukken dat de inflatiecijfers in toenemende mate door ontwikkelingen op de agrarische markten worden bepaald.","Waar voedsel in Europa maar een klein deel uit maakt van de totale uitgaven van de consument is dit in China en India anders. In China maakt voedsel 33 % uit van de consumentenprijsindex en in India 45 %. De stijgende voedselprijzen zullen daarom in deze landen een veel grotere impact hebben dan hier het geval is. Agflatie kan daarom spanningen tot gevolg hebben als burgers in opstand komen en landen besluiten om bepaalde goederen niet langer te exporteren maar voor zichzelf te houden. De gevolgen van agflatie kunnen wel eens verder strekken dan nu gedacht wordt.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,alcomobilist,alcohol,automobilist,"Volgende week dagen de verkeersschool en VVN bezoekers uit om eerst als automobilist en later als alcomobilist in de simulator plaats te nemen.","Alcomobilisten. De politie heeft gistermorgen tijdens een alcoholcontrole [...] een 35-jarige automobilist uit Meppel aangehouden. De man had te veel gedronken [...]. Op het Noordeinde in Meppel werd in de nacht van zaterdag op zondag een 25-jarige automobilist uit Kolderveen aangehouden. Bij hem werd een alcoholgehalte geconstateerd van 400 Ug/l. Ook een 22-jarige inwoner uit Beilen werd die nacht [...] aangehouden, omdat hij te diep in het glaasje had gekeken. Hij blies een alcoholgehalte van 425 Ug/l.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,apparterra,appartement,terra,"ApparterrA is een innovatief en onderscheidend woonconcept. Deze patiowoningen brengen het beste van twee werelden samen: de prijs en het comfort van een appartement, maar de leefbaarheid en vitaliteit van een woning direct op de grond.",,,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,boerkini,boerka,bikini,"Een Nederlandse vrouw in het Noord-Hollandse Venhuizen heeft zich bekeerd tot de Islam en wil wegens haar geloof het zwempak met hoofddoek, lange mouwen en broekspijpen dragen, de boerkini. Ze is daarmee echter niet welkom in Enkhuizerzand, want het zwembad stelt de boerkini niet op prijs.","Woortman Sportswear in Meppel verkoopt als enig bedrijf in Europa de boerkini, het lichaamsbedekkende badpak waarmee moslima's kunnen zwemmen. Niet iedereen is even blij met de boerkini, zo werd in Zwolle onlangs een vrouw in boerkini gesommeerd het zwembad te verlaten.","De Australisch Ahiida Zanetti kan de bestellingen niet bijhouden. Na de lancering van de hijood (een gemoderniseerde versie van de sluier) heeft ze al meer dan 2.500 boerkabikini's verkocht. De burqini verpakt het lichaam letterlijk van kop tot teen.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,brambulance,brandweer,ambulance,"Lokale hulpdiensten in Zuid-Holland mogen binnenkort gaan testen met een combinatie van een ambulance en een brandweer. De 'brambrulance' werd maandagmorgen gepresenteerd.","De 'brambulance' zal als proef ingezet worden tijdens het strandseizoen. In de wagen werkt speciale bemanning, die zowel brandweer- als verpleegkundige taken kan uitvoeren. Aan boord van de wagen zijn minder gespecialiseerde functies aanwezig, maar het multifunctionele eerstehulpvoertuig kan wel een stuk sneller uitrukken.",,,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,bromance,brother,romance,"Afgelopen weekend ontstond zowaar een bromance in Kopenhagen. De één komt uit Manchester, en de ander uit Spijkenisse. Rob Smith is down for life met Nassim Guammaz.","Heb je wel eens het gevoel dat je man jou op de tweede plaats zet? Zijn aandacht gaat in de plaats daarvan niet naar jullie kinderen, zijn moeder, maar ... naar zijn beste vriend. De kans is groot dat hij een bromance beleeft. Een bromance is een zeer intense, niet-seksuele vriendschap tussen mannen. Een romance tussen 'brothers', zo je wil.","Boomsma en Sanders zien er uit als metromannen, wanneer ze aan komen zetten bij het Amsterdamse café De IJsbreker. Boomsma in een laag op de heup hangende spijkerbroek, zwart leren jasje, V-hals shirtje en een paars sjaaltje los om zijn nek; Sanders in spijkerbroek, grijs colbertjasje, diepe V-hals en met pilotenbril en pet. Wanneer ze elkaar op het terras treffen, volgt een innige omhelzing – heel bromance.",,,,,
"Welk woord of welke woorden in deze tekst herken je als blends?",task,bromance,brother,romance,"Terwijl ik een historisch drama had verwacht, bleek The King's Speech verrassend licht van toon. Een koninklijke bromance tegen de achtergrond van Wereldoorlog II en een opvolgingscrisis in het Engelse koningshuis, dat we dat nog mochten meemaken!","De bromance kent een simpel plot: een aantal mannen zijn op zoek naar betekenis in seks, drugs en rock 'n roll, vinden die betekenis niet, maar vinden in de tussentijd wel elkaar.",,,,,,
