resultNumber,question,type,lemma
,,userdetails,
1,"Uit welke twee woorden is het volgende woord opgebouwd?",task,bromance
3,"Uit welke twee woorden is het volgende woord opgebouwd?",task,DigiD
5,"Uit welke twee woorden is het volgende woord opgebouwd?",task,twexit
7,"Uit welke twee woorden is het volgende woord opgebouwd?",task,aanmodderfakker
8,"Uit welke twee woorden is het volgende woord opgebouwd?",task,adware
9,"Uit welke twee woorden is het volgende woord opgebouwd?",task,agflatie
10,"Uit welke twee woorden is het volgende woord opgebouwd?",task,alcomobilist
11,"Uit welke twee woorden is het volgende woord opgebouwd?",task,autistiform
12,"Uit welke twee woorden is het volgende woord opgebouwd?",task,boerkini
13,"Uit welke twee woorden is het volgende woord opgebouwd?",task,brambulance
14,"Uit welke twee woorden is het volgende woord opgebouwd?",task,cockerpoe
15,"Uit welke twee woorden is het volgende woord opgebouwd?",task,cronut
16,"Uit welke twee woorden is het volgende woord opgebouwd?",task,drentenier
17,"Uit welke twee woorden is het volgende woord opgebouwd?",task,emoticon
18,"Uit welke twee woorden is het volgende woord opgebouwd?",task,fembot
19,"Uit welke twee woorden is het volgende woord opgebouwd?",task,festivaluta
20,"Uit welke twee woorden is het volgende woord opgebouwd?",task,flexitariër
21,"Uit welke twee woorden is het volgende woord opgebouwd?",task,glamperen
22,"Uit welke twee woorden is het volgende woord opgebouwd?",task,glamping
