,type,id,woord,lemma,freq,neo,anw,niet_neo,twijfel,knop,comment,woord_orig,lemma_orig,woordsoort,minidefinitie,datum,opn,concordanties
0,userdetails,,,,,,,,,,,,,,,,,
1,task,6397.0,clubgehalte,clubgehalte,1.0,f,f,t,f,,,clubgehalte,clubgehalte,-,,2015 07,f,"lees graag de reacties van de mensen. Het is een heel radiovriendelijke single. Het clubgehalte is niet heel hoog. Ik zie de mensen er eerst aarzelend op schuifelen, pas 
"
3,task,140973.0,infectiecampagne,infectiecampagne,1.0,f,f,t,f,,,infectiecampagne,infectiecampagne,-,,2018 02,f," een burn-out kunt herkennen. Zo' n mediatisering kan je gerust een regelrechte infectiecampagne noemen: symptomen worden met een megafoon gesuggereerd, en vervolgens duiken ze ook op. 
"
4,task,3996.0,bekeringskantoor,bekeringskantoor,1.0,t,f,f,f,,,bekeringskantoor,bekeringskantoor,-,,2015 04,f,"zegt Reuter. ' Ze beginnen in een dorp met een onschuldig lijkende dawah, een bekeringskantoor. Ze werven hun eerste getrouwen aan, die het hele dorp in kaart brengen, zelfs 
"
5,task,37448.0,weekendstad,weekendstad,1.0,t,f,f,f,,,weekendstad,weekendstad,-,,2016 01,f,"in Knokke hadden bekeken, richtten ze hun vizier op Gent. "" Knokke is een weekendstad. We kenden Gent niet en ontdekten een bruisende stad, ook ' s avonds, wat 
"
6,task,14754.0,jihadi-strijder,jihadi-strijder,1.0,t,t,f,f,,,jihadi-strijder,jihadi-strijder,-,,2015 01,f,"' Het is wel een risicogroep. Dat niet iedereen die onrecht ervaart effectief een jihadi-strijder wordt, hangt af van meerdere factoren. Sociale integratie is een buffer die jongeren 
"
7,task,157881.0,hangmathoek,hangmathoek,2.0,f,f,t,f,,,hangmathoek,hangmathoek,-,,2018 06,f,"Een hangmat die breder dan lang is, daar pas je languit in 5 De ideale hangmathoek alledaagse wetenschap Door onze medewerker Karel Knip Wekelijks stuit Karel Knip in de 
"
10,task,160795.0,actiefilmavond,actiefilmavond,2.0,f,f,t,f,,,actiefilmavond,actiefilmavond,-,,2018 07,f," film Predator Veronica, 22.35-0.45u. (John McTiernan, 1987). Een onvervalste actiefilmavond op Veronica. Eerst Deep Rising (20.30 uur), waarin een gammele piratenschuit een luxe cruiseschip 
"
11,task,14594.0,jazzfilosofie,jazzfilosofie,1.0,f,f,t,f,,,jazzfilosofie,jazzfilosofie,-,,2015 06,f,"geschat. Het was freejazz in zijn sterkste en snijdende vorm met dubbelkwartet. Zijn jazzfilosofie, die hij in ' 71 op het met het London Symphony Orchestra opgenomen Skies of America 
"
12,task,30079.0,thoroughfare,thoroughfare,1.0,f,f,t,f,,,thoroughfare,thoroughfare,-,,2015 07,f,"situeerde er zijn misdaadverhaal ' The murders in the Rue Morgue '. De straat, ' a miserable thoroughfare ' die door Poe in de buurt van het Palais Royal tussen de bestaande Rue Saint-Roch en 
"
13,task,34333.0,zesringstructuur,zesringstructuur,1.0,f,f,t,f,,,zesringstructuur,zesringstructuur,-,,2015 03,f,"het staal door zijn spectrometers en chromatografen leverde Curiosity chloorbenzeen op: een chemisch ingewikkelde zesringstructuur. Voorts vond hij benzoëzuur, een aromatisch molecule van acht geschakelde koolstoffen dat op aarde 
"
15,task,148341.0,zeilersforum,zeilersforum,2.0,f,f,t,f,,,zeilersforum,zeilersforum,-,,2018 03,f,"verzekeraars. Hij arriveert zaterdag 2 april 2016 op San Andrés. Via een online zeilersforum huurt Van Dijk een scheepsagent in als gids. De marine en kustwacht koppelen hem 
"
17,task,4696.0,biodrama,biodrama,1.0,t,t,f,f,,,biodrama,biodrama,-,,2015 03,f,"begon als een klassiek kamertoneeltje, is dan al verveld in een metavoorstelling die flirt met biodrama, re-enactment en de epische effecten van een vertelstem. Met de glimlach wraken Lond en 
"
18,task,17278.0,ligpodium,ligpodium,1.0,f,f,t,f,,,ligpodium,ligpodium,-,,2015 07,f,"zijn gedichten lezen, er worden twee documentaires over hem getoond en er is een ligpodium waar je hem hoort voorlezen.) 
"
19,task,2965.0,app-ontwikkelaar,app-ontwikkelaar,1.0,t,f,f,f,,,app-ontwikkelaar,app-ontwikkelaar,-,,2015 01,f,"is twee jaar oud, maar circuleert sindsdien op internet. Toen Joost Aartsen (25, app-ontwikkelaar) het onder ogen kreeg, bombardeerde hij samen met drie vrienden vrijdag 6 februari tot 
"
20,task,137972.0,post-waardheidsgeneratie,post-waardheidsgeneratie,1.0,f,f,t,f,,,post-waardheidsgeneratie,post-waardheidsgeneratie,-,,2018 01,f,"twee keer zo bevattelijk zijn voor complotten of ' alternatieve feiten ' als ouderen. Deze 'post-waardheidsgeneratie', zoals Libération het noemde, heeft het minste vertrouwen in media. Ook kiezers op 
"
21,task,40091.0,telelogopedie,telelogopedie,1.0,f,f,t,f,,,telelogopedie,telelogopedie,-,,2016 02,f,"zegt Ceuppens. ' We vinden het hemeltergend: logopedie evolueert, denk maar aan telelogopedie, waarbij je mensen vanop afstand kunt helpen omdat ze niet langer mobiel zijn. In 
"
