"id","type","category","question","image","imageLicense"
1,"task","Woorden voor snoep","snoep",,
2,"task","Woorden voor snoep","een snoepje",,
3,"task","Woorden voor snoep","Snoep op een stokje. Meestal gaat het om felgekleurde, geglazuurde suiker.","https://upload.wikimedia.org/wikipedia/commons/2/2d/GirlWithLollipop.jpg","CC BY-SA 2.0, by yogi, Flickr"
4,"task","Woorden voor snoep","Gesuikerd, doorgaans felgekleurd waterijs op een stokje. ","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Icepop-green.jpg/676px-Icepop-green.jpg","CC BY-SA 2.0, by Alexstaubo, Flickr"
5,"task","Woorden voor snoep","Roomijs op een stokje, bedekt met een laagje chocolade. ","https://farm3.staticflickr.com/2246/2132113205_5e19061ef0_z.jpg","CC BY 2.0, by elgrandee, Flickr"
6,"task","Woorden voor snoep","De gedroogde wortelstok van het zoethout die als lekkernij wordt gebruikt.","https://upload.wikimedia.org/wikipedia/commons/a/a2/Baton_de_reglisse.jpg",
7,"task","Woorden voor snoep","Snoep­goed ge­maakt van een af­trek­sel van zoet­hout. Het is zwart, vaak zit er een zwart, wit of gekleurd suikerlaagje over. ","https://farm3.staticflickr.com/2910/14620753081_82668cb295_z.jpg","CC BY-NC-ND 2.0, by susievision, Flickr"
8,"task","Woorden voor snoep","Het zwarte snoepgoed uit de vorige vraag in de vorm van lange zwarte stroken. ","https://upload.wikimedia.org/wikipedia/commons/8/85/Liquorice_wheels.jpg","CC BY 2.0, by pikaluk, Flickr"
9,"task","Woorden voor snoep","Lange dunne slierten rood snoepgoed.","https://upload.wikimedia.org/wikipedia/commons/d/d5/Licorice.jpg","CC BY 2.0, by Windell H. Oskay"
10,"task","Algemene woordenschat","Hoe wenst u uw huisgenoten een goede nachtrust toe?",,
11,"task","Algemene woordenschat","U hebt bezoek. Hoe nodigt u hem of haar uit om te gaan zitten? Vul de zin aan: 'Kom binnen en ... .'",,
12,"task","Algemene woordenschat","Vul de zin aan 'Het eten is klaar, ik moet alleen nog ... .' (borden, bestek, glazen en andere benodigdheden voor de maaltijd op de tafel zetten).",,
13,"task","Algemene woordenschat","Hoe noemt u azijn?",,
14,"task","Algemene woordenschat","Hoe noemt u een kussensloop?",,
15,"task","Algemene woordenschat","Hoe noemt u een lucifer?",,
16,"task","Algemene woordenschat","Hoe noemt u een strijkijzer?",,
17,"task",,"Eventuele algemene opmerkingen over deze vragenlijst",,
,"userdetails-taalverhalen",,,,
